year,school,rank
1998,Tennessee,1
1998,Ohio State,2
1998,Florida State,3
1998,Arizona,4
1998,Florida,5
1998,Wisconsin,6
1998,Tulane,7
1998,UCLA,8
1998,Georgia Tech,9
1998,Kansas State,10
1998,Texas A&M,11
1998,Michigan,12
1998,Air Force,13
1998,Georgia,14
1998,Texas,15
1998,Arkansas,16
1998,Penn State,17
1998,Virginia,18
1998,Nebraska,19
1998,Miami,20
1998,Missouri,21
1998,Notre Dame,22
1998,Virginia Tech,23
1998,Purdue,24
1998,Syracuse,25
1999,Florida State,1
1999,Virginia Tech,2
1999,Nebraska,3
1999,Wisconsin,4
1999,Michigan,5
1999,Kansas State,6
1999,Michigan State,7
1999,Alabama,8
1999,Tennessee,9
1999,Marshall,10
1999,Penn State,11
1999,Florida,12
1999,Mississippi State,13
1999,Southern Mississippi,14
1999,Miami,15
1999,Georgia,16
1999,Arkansas,17
1999,Minnesota,18
1999,Oregon,19
1999,Georgia Tech,20
1999,Texas,21
1999,Ole Miss,22
1999,Texas A&M,23
1999,Illinois,24
1999,Purdue,25
2000,Oklahoma,1
2000,Miami,2
2000,Washington,3
2000,Oregon State,4
2000,Florida State,5
2000,Virginia Tech,6
2000,Oregon,7
2000,Nebraska,8
2000,Kansas State,9
2000,Florida,10
2000,Michigan,11
2000,Texas,12
2000,Purdue,13
2000,Colorado State,14
2000,Notre Dame,15
2000,Clemson,16
2000,Georgia Tech,17
2000,Auburn,18
2000,South Carolina,19
2000,Georgia,20
2000,TCU,21
2000,LSU,22
2000,Wisconsin,23
2000,Mississippi State,24
2000,Iowa State,25
2001,Miami,1
2001,Oregon,2
2001,Colorado,3
2001,Nebraska,4
2001,Florida,5
2001,Maryland,6
2001,Illinois,7
2001,Tennessee,8
2001,Texas,9
2001,Oklahoma,10
2001,Stanford,11
2001,LSU,12
2001,Washington State,13
2001,South Carolina,14
2001,Virginia Tech,15
2001,Georgia,16
2001,Michigan,17
2001,Syracuse,18
2001,BYU,19
2001,Fresno State,20
2001,Washington,21
2001,Ohio State,22
2001,Louisville,23
2001,Florida State,24
2001,Toledo,25
2002,Miami,1
2002,Ohio State,2
2002,Iowa,3
2002,Georgia,4
2002,USC,5
2002,Kansas State,6
2002,Washington State,7
2002,Oklahoma,8
2002,Texas,9
2002,Penn State,10
2002,Notre Dame,11
2002,Michigan,12
2002,Alabama,13
2002,Colorado,14
2002,West Virginia,15
2002,Florida State,16
2002,NC State,17
2002,Boise State,18
2002,Auburn,19
2002,Maryland,20
2002,Virginia Tech,21
2002,Florida,22
2002,Colorado State,23
2002,Pittsburgh,24
2002,Arkansas,25
2003,USC,1
2003,LSU,2
2003,Oklahoma,3
2003,Ohio State,4
2003,Miami,5
2003,Michigan,6
2003,Georgia,7
2003,Iowa,8
2003,Washington State,9
2003,Miami (OH),10
2003,Florida State,11
2003,Texas,12
2003,Ole Miss,13
2003,Kansas State,14
2003,Tennessee,15
2003,Boise State,16
2003,Maryland,17
2003,Purdue,18
2003,Nebraska,19
2003,Minnesota,20
2003,Utah,21
2003,Clemson,22
2003,Bowling Green,23
2003,Florida,24
2003,TCU,25
2004,USC,1
2004,Auburn,2
2004,Oklahoma,3
2004,Utah,4
2004,Texas,5
2004,Louisville,6
2004,Georgia,7
2004,Iowa,8
2004,California,9
2004,Virginia Tech,10
2004,Miami,11
2004,Boise State,12
2004,Tennessee,13
2004,Michigan,14
2004,Florida State,15
2004,LSU,16
2004,Wisconsin,17
2004,Texas Tech,18
2004,Arizona State,19
2004,Ohio State,20
2004,Boston College,21
2004,Fresno State,22
2004,Virginia,23
2004,Navy,24
2004,Pittsburgh,25
2005,Texas,1
2005,USC,2
2005,Penn State,3
2005,Ohio State,4
2005,West Virginia,5
2005,LSU,6
2005,Virginia Tech,7
2005,Alabama,8
2005,Notre Dame,9
2005,Georgia,10
2005,TCU,11
2005,Oregon,12
2005,Florida,12
2005,Auburn,14
2005,Wisconsin,15
2005,UCLA,16
2005,Miami,17
2005,Boston College,18
2005,Louisville,19
2005,Texas Tech,20
2005,Clemson,21
2005,Oklahoma,22
